ID,Ronda,Rival,Resultado
1027,10,Raghav Malaviya [US],Loss
1027,9,Donghun Youm [US],Win
1027,8,Toler Webb [US],Win
1027,7,kody phelps [US],Win
1027,6,Kian Sayan [US],Win
1027,5,Daniel Stevenson [US],Win
1027,4,Samuel Mowery [US],Loss
1027,3,Jeffrey Lehmann [US],Win
1027,2,Bukunmi Oyewole [US],Win
1027,1,Bailey Goodyear [US],Win
1028,15,Paul Chua [US],Win
1028,14,Toler Webb [US],Loss
1028,13,Dylan Simmons [US],Win
1028,12,Zhe Zhang [CN],Loss
1028,11,Michael Parusa [US],Win
1028,10,Christian Dam [US],Win
1028,9,Bryan Tong [US],Win
1028,8,Alexa Koske [US],Win
1028,7,Jérémy Côté [CA],Loss
1028,6,Timothy Kendall [US],Win
1028,5,Mikal Mahoney [US],Win
1028,4,Luca Paz [US],Win
1028,3,Jeremy Parson [US],Loss
1028,2,Tyler McBride [US],Win
1028,1,Jack Mountain [US],Win
1029,15,Justin Tang [US],Win
1029,14,Owen Murphy [US],Win
1029,13,Will Inabinet [US],Loss
1029,12,Jonathan Duran [US],Win
1029,11,David Baumgardt [US],Loss
1029,10,Dashiell Murphy [US],Win
1029,9,Mark Jackson [US],Win
1029,8,Trista Medine [US],Loss
1029,7,Rafe Osborne [CA],Win
1029,6,Madeline Lemons [US],Win
1029,5,Owen Murphy [US],Loss
1029,4,Jonathan Zuniga [US],Win
1029,3,Rajan Gary [US],Win
1029,2,Kurt Imhoff [US],Win
1029,1,Kelsei Green [US],Win
1030,15,David Baumgardt [US],Win
1030,14,Michael Parusa [US],Win
1030,13,Sohaib Mufti [US],Loss
1030,12,Justin Burns [US],Win
1030,11,Logan Mazur [US],Win
1030,10,Ashton Cox [US],Loss
1030,9,Enzo Reci [US],Loss
1030,8,Morgan O'Hare [US],Win
1030,7,Nick Willems [US],Win
1030,6,Kevin Swastek [US],Win
1030,5,Hunter Jones [US],Win
1030,4,Eric Payne [US],Win
1030,3,Sierra Wolff [US],Win
1030,2,Mateo Vasic [US],Loss
1030,1,Penny Johnson [US],Win
1031,15,Aaron Clemons [US],Win
1031,14,Brady Smith [US],Win
1031,13,Takuya Hiraiwa [US],Win
1031,12,Don Czech [US],Loss
1031,11,Ashton Cox [US],Loss
1031,10,Justin Tang [US],Loss
1031,9,Brady Smith [US],Win
1031,8,Jianzheng Huang [CN],Win
1031,7,Yotam Cohen [US],Win
1031,6,Chuppa Cross IV [US],Win
1031,5,Nick Willems [US],Loss
1031,4,Jacob Ujhazy [US],Win
1031,3,Nate Engstrom [US],Win
1031,2,Kevin Miller [US],Win
1031,1,Courtney Rodgers [US],Win
1032,15,Bobby Rochelle [US],Win
1032,14,felipe molino [PA],Win
1032,13,Jérémy Côté [CA],Loss
1032,12,Mia Gray [US],Win
1032,11,Noah Gardner [US],Win
1032,10,Donghun Youm [US],Loss
1032,9,Matteo Velata [IT],Win
1032,8,Neil Patel [US],Loss
1032,7,Wolfe Glick [US],Loss
1032,6,Dillon Kleinvehn [US],Win
1032,5,Daniel A Fontes [US],Win
1032,4,Timothy Kendall [US],Win
1032,3,George Jeno [US],Win
1032,2,Travis Melton [US],Win
1032,1,Natalie Crosby [US],Win
1033,15,Justin Burns [US],Loss
1033,14,Kyle Livinghouse [US],Loss
1033,13,Luka Trejgut [US],Loss
1033,12,Will Inabinet [US],Win
1033,11,Wolfe Glick [US],Loss
1033,10,Rily Corn [US],Win
1033,9,Dashiell Murphy [US],Win
1033,8,Takuya Hiraiwa [US],Win
1033,7,Brian Dumont [US],Win
1033,6,Adrian Heredia [US],Win
1033,5,Kyle Livinghouse [US],Loss
1033,4,Matteo Velata [IT],Win
1033,3,Noredia Imudia [US],Win
1033,2,Zach Droegkamp [US],Win
1033,1,Christian Dam [US],Win
1034,15,Thaison Hughes [US],Loss
1034,14,Neil Patel [US],Loss
1034,13,Dustin Deardurff [US],Win
1034,12,Brian Collins [US],Loss
1034,11,Jerry Woods III [US],Win
1034,10,Enzo Reci [US],Loss
1034,9,Trista Medine [US],Win
1034,8,Matteo Velata [IT],Win
1034,7,Jeudy Azzarelli [US],Win
1034,6,Garrett Wilson [US],Win
1034,5,Jesse Romolo [CA],Win
1034,4,Thomas Cholakov [US],Win
1034,3,Chukwuka Onua [US],Win
1034,2,Gabriel Batista [US],Win
1034,1,Charles Erbring [US],Loss
1035,15,Drew Brown [US],Loss
1035,14,Yichun Wu [US],Win
1035,13,Garrett Wilson [US],Win
1035,12,Riley Factura [US],Loss
1035,11,Jeudy Azzarelli [US],Loss
1035,10,Nicholas Donnelly [US],Loss
1035,9,Joshua Denk [US],Win
1035,8,Brandon Hoffman [US],Win
1035,7,Yichun Wu [US],Win
1035,6,Eric Stuart [US],Win
1035,5,David Baumgardt [US],Win
1035,4,Dillon Kleinvehn [US],Loss
1035,3,Hunter Jones [US],Win
1035,2,Gabrielle Harbaugh [US],Win
1035,1,William Krayer [US],Win
1036,15,Don Czech [US],Loss
1036,14,Kazuki Kanehira [US],Loss
1036,13,Rily Corn [US],Win
1036,12,Paul Chua [US],Loss
1036,11,James Evans [US],Win
1036,10,Dillon Woolf [US],Win
1036,9,Morgan O'Hare [US],Win
1036,8,Galo Orbea [EC],Win
1036,7,Ethan Temple [US],Win
1036,6,Walter Morales [US],Win
1036,5,Jonathan Quiñones [US],Loss
1036,4,Eric Stuart [US],Loss
1036,3,Rishi Gupta [US],Win
1036,2,Alexavier Alvarez [US],Win
1036,1,Joshua Meritt [US],Win
1037,15,felipe molino [PA],Win
1037,14,James Evans [US],Loss
1037,13,Kazuki Kanehira [US],Loss
1037,12,Neil Patel [US],Loss
1037,11,Donghun Youm [US],Win
1037,10,Thomas Cholakov [US],Win
1037,9,Raghav Malaviya [US],Loss
1037,8,Norah Bowman [US],Win
1037,7,Jonathan Zuniga [US],Win
1037,6,Zhe Zhang [CN],Loss
1037,5,James Evans [US],Win
1037,4,Sam Pletcher [US],Win
1037,3,Patrick Cheng [CA],Win
1037,2,Brent Caughey [US],Win
1037,1,Alexander Bambico [US],Win
1038,15,Jérémy Côté [CA],Loss
1038,14,Will Inabinet [US],Loss
1038,13,Bobby Rochelle [US],Win
1038,12,Nick Willems [US],Win
1038,11,Nathan Parker [US],Win
1038,10,James Evans [US],Loss
1038,9,Aaron Clemons [US],Loss
1038,8,Justin Carris [US],Win
1038,7,Dawei Si [CN],Win
1038,6,Preston Stutzman [US],Win
1038,5,John Mills [US],Win
1038,4,Rajan Bal [US],Loss
1038,3,Steven Stark [US],Win
1038,2,John Lyons [US],Win
1038,1,Rebecca Ford [US],Win
1039,15,Raghav Malaviya [US],Loss
1039,14,Dillon Woolf [US],Win
1039,13,Daniel Yu [US],Win
1039,12,Jérémy Côté [CA],Loss
1039,11,Thomas Cholakov [US],Win
1039,10,Kyle Livinghouse [US],Loss
