Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6,Archetype
Kingambit,Assault Vest,Defiant,Fairy,Sucker Punch,Kowtow Cleave,Iron Head,Low Kick,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Howl,Heat Crash,Burning Bulwark,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Psyshock,Landorus-Therian,Choice Scarf,Intimidate,Flying,Stomping Tantrum,Tera Blast,U-turn,Rock Tomb,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,0
Iron Crown,Booster Energy,Quark Drive,Ground,Expanding Force,Tachyon Cutter,Protect,Tera Blast,Landorus,Life Orb,Sheer Force,Poison,Protect,Taunt,Earth Power,Sludge Bomb,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,Surging Strikes,Ice Punch,Close Combat,U-turn,Tornadus,Sitrus Berry,Prankster,Steel,Protect,Tailwind,Rain Dance,Bleakwind Storm,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Heal Pulse,Helping Hand,Psychic,Archaludon,Psychic Seed,Stamina,Grass,Electro Shot,Protect,Draco Meteor,Body Press,0
Iron Hands,Clear Amulet,Quark Drive,Grass,Fake Out,Drain Punch,Wild Charge,Heavy Slam,Zapdos-Galar,Choice Scarf,Defiant,Ghost,Brave Bird,Close Combat,U-turn,Thunderous Kick,Sinistcha,Sitrus Berry,Hospitality,Fire,Protect,Matcha Gotcha,Life Dew,Rage Powder,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Taunt,Leer,Ting-Lu,Assault Vest,Vessel of Ruin,Fairy,Stomping Tantrum,Snarl,Heavy Slam,Throat Chop,Gouging Fire,Booster Energy,Protosynthesis,Grass,Protect,Heat Crash,Breaking Swipe,Howl,0
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Protect,Sacred Sword,Sucker Punch,Okidogi,Assault Vest,Guard Dog,Dark,Poison Jab,Drain Punch,Knock Off,Upper Hand,Dragapult,Choice Band,Clear Body,Ghost,Dragon Darts,Phantom Force,Tera Blast,U-turn,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Dazzling Gleam,Psyshock,Trick Room,Helping Hand,0
Gholdengo,Sitrus Berry,Good as Gold,Fairy,Protect,Make It Rain,Shadow Ball,Nasty Plot,Tornadus,Covert Cloak,Prankster,Dragon,Bleakwind Storm,Tailwind,Rain Dance,Foul Play,Incineroar,Safety Goggles,Intimidate,Grass,Knock Off,Flare Blitz,Parting Shot,Fake Out,Amoonguss,Rocky Helmet,Regenerator,Dark,Pollen Puff,Spore,Rage Powder,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,0
Dondozo,Leftovers,Oblivious,Fairy,Wave Crash,Order Up,Substitute,Protect,Urshifu,Choice Scarf,Unseen Fist,Dark,Wicked Blow,Close Combat,U-turn,Coaching,Tatsugiri,Focus Sash,Commander,Steel,Draco Meteor,Icy Wind,Muddy Water,Taunt,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower,Heatran,Life Orb,Flash Fire,Grass,Heat Wave,Flash Cannon,Earth Power,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Imprison,Trick Room,Dazzling Gleam,Psychic,0
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Taunt,Tailwind,Protect,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Extreme Speed,Stomping Tantrum,Snarl,Glimmora,Power Herb,Toxic Debris,Grass,Sludge Bomb,Meteor Beam,Earth Power,Spiky Shield,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,4
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Icy Wind,Amoonguss,Sitrus Berry,Regenerator,Fairy,Pollen Puff,Clear Smog,Spore,Rage Powder,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Sucker Punch,Ice Spinner,Sacred Sword,Protect,Kingambit,Assault Vest,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Iron Head,Low Kick,10
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Horn Leech,Ivy Cudgel,Follow Me,Indeedee-F,Rocky Helmet,Psychic Surge,Fire,Follow Me,Helping Hand,Trick Room,Dazzling Gleam,Gouging Fire,Booster Energy,Protosynthesis,Grass,Burning Bulwark,Breaking Swipe,Howl,Heat Crash,Kingambit,Safety Goggles,Defiant,Dark,Kowtow Cleave,Sucker Punch,Low Kick,Protect,Urshifu,Choice Scarf,Unseen Fist,Poison,Wicked Blow,U-turn,Close Combat,Poison Jab,Hatterene,Twisted Spoon,Magic Bounce,Psychic,Protect,Trick Room,Expanding Force,Dazzling Gleam,0
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Amoonguss,Sitrus Berry,Regenerator,Fairy,Pollen Puff,Rage Powder,Spore,Protect,Roaring Moon,Booster Energy,Protosynthesis,Flying,Acrobatics,Knock Off,Dragon Dance,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Incineroar,Figy Berry,Intimidate,Grass,Flare Blitz,Fake Out,Knock Off,Parting Shot,Raging Bolt,Assault Vest,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Snarl,7
Ursaluna-Bloodmoon,Throat Spray,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,Kingambit,Black Glasses,Defiant,Flying,Kowtow Cleave,Sucker Punch,Iron Head,Swords Dance,Tornadus,Sharp Beak,Prankster,Steel,Bleakwind Storm,Tailwind,Sunny Day,Rain Dance,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Stomping Tantrum,Wood Hammer,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Hyper Voice,Dazzling Gleam,Trick Room,Helping Hand,Entei,Assault Vest,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Stone Edge,0
Kingambit,Black Glasses,Defiant,Dark,Low Kick,Kowtow Cleave,Protect,Sucker Punch,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Rage Powder,Clear Smog,Spore,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Thunderbolt,Moonblast,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Burning Bulwark,Breaking Swipe,Howl,Heat Crash,Ting-Lu,Sitrus Berry,Vessel of Ruin,Poison,Stomping Tantrum,Stealth Rock,Throat Chop,Heavy Slam,0
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect,Incineroar,Safety Goggles,Intimidate,Fairy,Flare Blitz,Throat Chop,Fake Out,Parting Shot,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand,2
Kingambit,Safety Goggles,Defiant,Dragon,Kowtow Cleave,Swords Dance,Sucker Punch,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,High Horsepower,Grassy Glide,Fake Out,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Recover,Trick Room,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Burning Bulwark,Howl,3
Raging Bolt,Safety Goggles,Protosynthesis,Stellar,Protect,Thunderbolt,Thunderclap,Draco Meteor,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Grassy Glide,Ivy Cudgel,Follow Me,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Outrage,Stomping Tantrum,Aerial Ace,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Protect,Icicle Crash,Sucker Punch,Sacred Sword,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,U-turn,Fake Out,0
Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sacred Sword,Sucker Punch,Protect,Entei,Sitrus Berry,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Protect,Rillaboom,Miracle Seed,Grassy Surge,Ghost,Grassy Glide,Wood Hammer,Taunt,Fake Out,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Draco Meteor,Thunderclap,Snarl,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Horn Leech,Follow Me,Ivy Cudgel,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,0
Incineroar,Sitrus Berry,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Knock Off,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Rain Dance,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Electroweb,Draco Meteor,Snarl,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,4
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Electroweb,Snarl,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Close Combat,Wicked Blow,Sucker Punch,Detect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Dark Pulse,Heat Wave,Overheat,Snarl,4
Amoonguss,Rocky Helmet,Regenerator,Water,Protect,Spore,Pollen Puff,Rage Powder,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Knock Off,Ting-Lu,Assault Vest,Vessel of Ruin,Fairy,Throat Chop,Tera Blast,Stomping Tantrum,Heavy Slam,Gholdengo,Choice Specs,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Trick,Kommo-o,Leftovers,Overcoat,Steel,Protect,Iron Defense,Body Press,Iron Head,Porygon2,Eviolite,Download,Poison,Trick Room,Tera Blast,Ice Beam,Recover,37
Urshifu,Black Glasses,Unseen Fist,Poison,Wicked Blow,Close Combat,Protect,Sucker Punch,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Spiky Shield,Earth Power,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Stomping Tantrum,Snarl,Extreme Speed,Flutter Mane,Focus Sash,Protosynthesis,Stellar,Shadow Ball,Icy Wind,Protect,Moonblast,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Spiky Shield,Follow Me,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Tailwind,Bleakwind Storm,Taunt,4
Incineroar,Sitrus Berry,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Will-O-Wisp,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Electroweb,Dragon Pulse,Snarl,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Icy Wind,Taunt,Landorus,Life Orb,Sheer Force,Steel,Protect,Earth Power,Sludge Bomb,Substitute,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Close Combat,Wicked Blow,Sucker Punch,4
Gholdengo,Metal Coat,Good as Gold,Dragon,Shadow Ball,Make It Rain,Nasty Plot,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Close Combat,Wicked Blow,Sucker Punch,Detect,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Recover,Trick Room,Amoonguss,Rocky Helmet,Regenerator,Water,Rage Powder,Spore,Protect,Pollen Puff,12
Incineroar,Figy Berry,Intimidate,Ghost,Flare Blitz,Fake Out,Taunt,Parting Shot,Amoonguss,Sitrus Berry,Regenerator,Fairy,Pollen Puff,Spore,Rage Powder,Protect,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Dragon Dance,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Raging Bolt,Assault Vest,Protosynthesis,Electric,Draco Meteor,Thunderbolt,Thunderclap,Snarl,7
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Thunderclap,Draco Meteor,Snarl,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,4
Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Snarl,Thunderclap,Draco Meteor,4
Ursaluna,Flame Orb,Guts,Normal,Facade,Headlong Rush,Earthquake,Protect,Regidrago,Dragon Fang,Dragon's Maw,Dragon,Dragon Energy,Draco Meteor,Earth Power,Protect,Armarouge,Life Orb,Flash Fire,Grass,Expanding Force,Armor Cannon,Wide Guard,Trick Room,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Helping Hand,Dazzling Gleam,Trick Room,Torkoal,Charcoal,Drought,Fire,Eruption,Flamethrower,Clear Smog,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Trick Room,0
Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Snarl,Overheat,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Protect,Moonblast,Icy Wind,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Earth Power,Spiky Shield,Sludge Bomb,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Protect,Sunny Day,4
Farigiraf,Sitrus Berry,Armor Tail,Fire,Trick Room,Dazzling Gleam,Psychic,Helping Hand,Tornadus,Rocky Helmet,Prankster,Steel,Tailwind,Bleakwind Storm,Protect,Taunt,Urshifu,Focus Sash,Unseen Fist,Stellar,Wicked Blow,Sucker Punch,Close Combat,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Wood Hammer,Stomping Tantrum,Iron Hands,Clear Amulet,Quark Drive,Fire,Fake Out,Close Combat,Heavy Slam,Wild Charge,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect,2
Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Draco Meteor,Thunderbolt,Thunderclap,Snarl,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Gholdengo,Metal Coat,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,4
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Draco Meteor,Thunderclap,Snarl,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Knock Off,Flare Blitz,Parting Shot,Fake Out,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,4
Iron Hands,Clear Amulet,Quark Drive,Grass,Wild Charge,Close Combat,Heavy Slam,Fake Out,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Taunt,Tailwind,Protect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Dazzling Gleam,Helping Hand,Trick Room,2
Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Protect,Nasty Plot,Amoonguss,Rocky Helmet,Regenerator,Fairy,Pollen Puff,Spore,Protect,Rage Powder,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Spiky Shield,Ivy Cudgel,Swords Dance,Iron Hands,Assault Vest,Quark Drive,Grass,Drain Punch,Fake Out,Heavy Slam,Wild Charge,Porygon2,Eviolite,Download,Poison,Tera Blast,Trick Room,Recover,Ice Beam,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Parting Shot,Knock Off,Flare Blitz,0
Farigiraf,Sitrus Berry,Armor Tail,Fire,Psychic,Dazzling Gleam,Helping Hand,Trick Room,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Earth Power,Hyper Voice,Protect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Icy Wind,Protect,Iron Hands,Clear Amulet,Quark Drive,Fire,Close Combat,Wild Charge,Heavy Slam,Fake Out,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,2
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Protect,Icy Wind,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Follow Me,Spiky Shield,Horn Leech,Ivy Cudgel,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Sunny Day,Protect,Tailwind,4
Venusaur,Life Orb,Chlorophyll,Fire,Protect,Giga Drain,Sludge Bomb,Weather Ball,Flutter Mane,Focus Sash,Protosynthesis,Stellar,Protect,Shadow Ball,Dazzling Gleam,Icy Wind,Torkoal,Charcoal,Drought,Fire,Protect,Eruption,Heat Wave,Earth Power,Iron Hands,Assault Vest,Quark Drive,Grass,Drain Punch,Wild Charge,Heavy Slam,Fake Out,Farigiraf,Throat Spray,Armor Tail,Fairy,Psychic,Hyper Voice,Trick Room,Helping Hand,Walking Wake,Choice Specs,Protosynthesis,Steel,Hydro Steam,Draco Meteor,Tera Blast,Flamethrower,0
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Draco Meteor,Thunderclap,Electroweb,Snarl,Tornadus,Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Rain Dance,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,4
Armarouge,Power Herb,Weak Armor,Stellar,Endure,Meteor Beam,Armor Cannon,Expanding Force,Tornadus,Focus Sash,Prankster,Steel,Tailwind,Protect,Icy Wind,Bleakwind Storm,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Trick Room,Follow Me,Helping Hand,Ursaluna,Flame Orb,Guts,Fairy,Earthquake,Facade,Protect,Headlong Rush,Roaring Moon,Booster Energy,Protosynthesis,Flying,Dragon Dance,Knock Off,Acrobatics,Protect,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Poison,Surging Strikes,Close Combat,U-turn,Poison Jab,0
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Dragon Pulse,Snarl,Thunderclap,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Taunt,Protect,Moonblast,Icy Wind,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Flare Blitz,Head Smash,Rock Slide,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,4
Heatran,Life Orb,Flash Fire,Fairy,Protect,Heat Wave,Flash Cannon,Earth Power,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Icy Wind,Taunt,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Trick Room,Dazzling Gleam,Helping Hand,Iron Hands,Clear Amulet,Quark Drive,Grass,Close Combat,Wild Charge,Fake Out,Heavy Slam,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,2
Amoonguss,Rocky Helmet,Regenerator,Fairy,Rage Powder,Protect,Spore,Pollen Puff,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sacred Sword,Sucker Punch,Protect,Kingambit,Dread Plate,Defiant,Dragon,Sucker Punch,Kowtow Cleave,Iron Head,Protect,Gouging Fire,Booster Energy,Protosynthesis,Grass,Howl,Burning Bulwark,Heat Crash,Breaking Swipe,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,10
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Thunderclap,Dragon Pulse,Snarl,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Amoonguss,Rocky Helmet,Regenerator,Fairy,Protect,Spore,Rage Powder,Pollen Puff,Incineroar,Safety Goggles,Intimidate,Fire,Flare Blitz,Taunt,Parting Shot,Fake Out,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,0
