Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6,Archetype
Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Tornadus,Rocky Helmet,Prankster,Ghost,Sunny Day,Bleakwind Storm,Tailwind,Taunt,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Protect,Icy Wind,Dazzling Gleam,4
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Pollen Puff,Rage Powder,Protect,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Substitute,Earth Power,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Electroweb,Snarl,Incineroar,Rocky Helmet,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,Surging Strikes,U-turn,Aqua Jet,Close Combat,15
Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Tailwind,Wide Guard,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Flare Blitz,Knock Off,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Amoonguss,Sitrus Berry,Regenerator,Steel,Spore,Pollen Puff,Rage Powder,Protect,14
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect,Pelipper,Focus Sash,Drizzle,Ghost,Wide Guard,Hurricane,Weather Ball,Tailwind,Archaludon,Assault Vest,Stamina,Fairy,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Poison,Surging Strikes,Close Combat,U-turn,Aqua Jet,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Icicle Crash,Ice Shard,Protect,14
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Wood Hammer,Follow Me,Rillaboom,Clear Amulet,Grassy Surge,Fire,Wood Hammer,High Horsepower,Fake Out,Grassy Glide,Urshifu,Choice Band,Unseen Fist,Grass,Wicked Blow,Close Combat,Sucker Punch,Iron Head,Farigiraf,Safety Goggles,Armor Tail,Fire,Hyper Voice,Psyshock,Helping Hand,Trick Room,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Sleep Talk,Smeargle,Focus Sash,Technician,Grass,Spore,Follow Me,Fake Out,Decorate,0
Kingambit,Black Glasses,Defiant,Dragon,Sucker Punch,Iron Head,Kowtow Cleave,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Clear Smog,Grass Knot,Rage Powder,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Aqua Jet,U-turn,Dragonite,Assault Vest,Inner Focus,Normal,Extreme Speed,Aerial Ace,Stomping Tantrum,Thunder Punch,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sacred Sword,Protect,Sucker Punch,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Horn Leech,Stomping Tantrum,16
Farigiraf,Safety Goggles,Armor Tail,Fairy,Psychic,Dazzling Gleam,Nasty Plot,Trick Room,Iron Jugulis,Booster Energy,Quark Drive,Poison,Protect,Air Slash,Snarl,Tailwind,Amoonguss,Sitrus Berry,Regenerator,Fairy,Rage Powder,Spore,Pollen Puff,Clear Smog,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Incineroar,Rocky Helmet,Intimidate,Grass,Parting Shot,Knock Off,Flare Blitz,Fake Out,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Hyper Voice,Blood Moon,Earth Power,17
Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Fake Out,U-turn,Knock Off,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Detect,Close Combat,Aqua Jet,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Dazzling Gleam,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic Noise,Dazzling Gleam,Trick Room,Helping Hand,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,2
Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Focus Sash,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Protect,Rillaboom,Meadow Plate,Grassy Surge,Grass,Fake Out,Grassy Glide,Taunt,Wood Hammer,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,3
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Swords Dance,Spiky Shield,Kingambit,Assault Vest,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Low Kick,Iron Head,Articuno,Never-Melt Ice,Snow Cloak,Fire,Tailwind,Freeze-Dry,Blizzard,Protect,Ninetales-Alola,Light Clay,Snow Warning,Water,Icy Wind,Aurora Veil,Moonblast,Encore,Magmar,Eviolite,Flame Body,Grass,Taunt,Overheat,Follow Me,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Protect,Sludge Bomb,Sandsear Storm,0
